prev_feedback_type,prev_feedback_time,prev_reward_time,prev_response,contrast_left,contrast_right,response
1.0,2.5284462506765806,-10.0,0.0,0.0,0.0,1.0
-1.0,1.4821237750238794,-1.6525047137667173,1.0,0.0,0.0,0.0
1.0,2.675330437616381,-3.2106421311321185,0.0,1.0,0.5,1.0
1.0,1.4119378291241276,-4.341597068649065,1.0,0.25,0.5,-1.0
1.0,1.2686398867102326,-2.8849780192414016,-1.0,0.5,0.5,-1.0
1.0,1.3823960309941867,-5.487685154644666,-1.0,0.0,0.5,-1.0
1.0,1.4554105628564002,-2.550059717361208,-1.0,0.0,1.0,-1.0
1.0,1.5227451967980414,-3.3141978337084055,-1.0,1.0,0.25,1.0
1.0,1.271468881511197,-2.548875473233764,1.0,0.25,1.0,-1.0
1.0,1.0956679110314553,-3.4907039395148303,-1.0,0.0,0.5,-1.0
1.0,1.5106979463106143,-2.0763195088803315,-1.0,0.25,1.0,-1.0
1.0,1.1914734905311946,-2.2114628024700806,-1.0,0.5,0.0,1.0
1.0,1.3020078277891685,-1.9854852989134741,1.0,0.0,0.0,0.0
1.0,2.5366412115222374,-2.2656778178545522,0.0,0.0,0.0,-1.0
-1.0,1.2074615916446305,-1.3382030664277664,-1.0,0.0,0.0,0.0
1.0,2.4423001026007114,-2.670472257923066,0.0,0.25,0.0,1.0
1.0,1.2924045169644387,-2.1653234685475127,1.0,1.0,0.5,1.0
1.0,1.184270286145619,-1.7358367992052592,1.0,1.0,0.0,1.0
1.0,1.590259426154887,-3.0631727973887166,1.0,1.0,0.0,1.0
1.0,1.3970057638480569,-2.3545335583221174,1.0,0.5,1.0,1.0
-1.0,1.2631354804576347,-3.2519515119879543,1.0,0.25,0.0,-1.0
-1.0,2.1196906863253844,-2.280381100540012,-1.0,0.25,0.25,1.0
1.0,1.3240047210698265,-2.61241622235093,1.0,0.25,1.0,-1.0
1.0,1.1218899811452445,-2.6648293633899414,-1.0,0.0,0.25,-1.0
1.0,1.4353889838877478,-1.7532647791595366,-1.0,0.0,0.0,0.0
1.0,2.7110966988098255,-1.9633921880631817,0.0,0.5,0.25,1.0
1.0,1.4038865865351227,-1.5427446346647002,1.0,1.0,0.25,1.0
1.0,1.4314279102324008,-2.138370821222992,1.0,0.0,0.0,-1.0
-1.0,1.4948261632289643,-2.0507763022389724,-1.0,0.0,0.0,0.0
1.0,2.8106377683347716,-3.82214316585015,0.0,1.0,0.5,1.0
1.0,1.651483308024467,-1.6853906565240209,1.0,0.0,0.0,-1.0
-1.0,1.6706070480952349,-1.6326837939795098,-1.0,0.0,0.0,0.0
1.0,2.4678984657638523,-2.394512890903087,0.0,0.0,0.0,0.0
1.0,2.675970880154779,-1.9962621316197442,0.0,0.5,0.0,-1.0
-1.0,1.3315493342608704,-1.3075102241957666,-1.0,0.5,0.25,-1.0
-1.0,1.2441295861510753,-2.5608990376049405,-1.0,0.0,1.0,-1.0
1.0,1.6247950767121608,-2.3965520366870976,-1.0,0.5,0.0,1.0
1.0,1.214769675021671,-2.3033544702948916,1.0,0.5,0.5,1.0
1.0,1.0956242860659984,-2.3247750101840836,1.0,1.0,0.5,1.0
1.0,1.264069387002877,-1.8730696512336635,1.0,0.0,0.5,-1.0
1.0,1.2970705627604957,-2.921888520393452,-1.0,0.0,0.0,0.0
1.0,2.764661350567593,-3.113608676410877,0.0,0.25,0.0,1.0
1.0,1.3270040236382386,-3.217346407841177,1.0,0.25,0.5,-1.0
1.0,1.47828910767754,-3.042088241153067,-1.0,0.0,0.25,-1.0
1.0,1.2474633517811071,-1.9563890580481882,-1.0,1.0,0.5,1.0
1.0,1.660748627422521,-1.4746887850748465,1.0,0.5,0.0,1.0
1.0,1.3680430947828484,-1.5506340610839686,1.0,0.25,1.0,-1.0
1.0,1.3620800163252795,-1.4417635989339033,-1.0,0.5,0.0,1.0
1.0,1.1530519158113464,-3.500687754331665,1.0,0.0,1.0,-1.0
1.0,1.238578266435951,-1.6144775878541964,-1.0,0.0,1.0,-1.0
1.0,1.1311167380603706,-1.9225316909657124,-1.0,0.25,0.0,1.0
1.0,1.4632475237168308,-3.191256812738004,1.0,1.0,1.0,-1.0
1.0,1.8021988912665279,-1.4194477065219928,-1.0,0.0,1.0,-1.0
1.0,1.1313650205831323,-3.7216590115674535,-1.0,0.0,1.0,-1.0
1.0,1.4865110954663692,-1.8000585716898172,-1.0,1.0,0.0,1.0
1.0,1.575712788296471,-1.3952306238375058,1.0,0.5,0.0,1.0
1.0,1.8148842999211752,-6.222465910763958,1.0,0.0,1.0,-1.0
1.0,1.2969337792573015,-1.3725081097570069,-1.0,0.25,1.0,-1.0
1.0,1.4680553182906237,-2.370482667031581,-1.0,0.5,0.25,-1.0
-1.0,1.5101797490573858,-1.4398195428302074,-1.0,0.0,0.0,0.0
1.0,2.457428175848918,-5.368639792676106,0.0,0.0,0.0,0.0
1.0,2.6245517224184596,-6.737906424439018,0.0,0.25,0.5,-1.0
1.0,1.580604273235224,-4.824590863407366,-1.0,1.0,0.25,1.0
1.0,1.3429947041702803,-3.9764583543195613,1.0,0.0,0.0,0.0
1.0,2.7470814545471853,-2.238819958368822,0.0,0.0,1.0,-1.0
1.0,1.3141000174416035,-2.406348388949766,-1.0,0.0,1.0,-1.0
1.0,1.4988090300707313,-2.256163112243655,-1.0,0.0,0.0,1.0
-1.0,1.427693012194311,-1.3940128719552831,1.0,0.0,0.0,0.0
1.0,2.821977780229247,-3.6847998286818893,0.0,1.0,0.0,1.0
1.0,1.1714508211953216,-1.9774422195944226,1.0,1.0,0.25,1.0
1.0,1.3172394077597005,-1.9366937169898506,1.0,0.5,0.0,1.0
1.0,1.2485687699620485,-1.8202840000220704,1.0,0.0,0.0,0.0
1.0,2.573028233828609,-3.392948406789685,0.0,0.25,0.5,1.0
-1.0,1.373487553941402,-2.0476380402484438,1.0,0.0,0.0,0.0
1.0,2.477099633644116,-2.3927110165285512,0.0,0.5,0.25,1.0
1.0,1.2114232001940195,-1.5743811289506198,1.0,0.25,0.25,-1.0
-1.0,1.3096954720253393,-2.235105422580034,-1.0,0.5,0.25,1.0
1.0,1.485196646235181,-2.216552969229383,1.0,0.25,1.0,-1.0
1.0,1.052654988325628,-2.016390357148339,-1.0,0.25,0.0,1.0
1.0,1.1956698573292783,-2.190199839798595,1.0,0.25,0.25,1.0
-1.0,1.275152240091984,-4.43855324411453,1.0,1.0,0.0,1.0
1.0,1.403001300080291,-5.448946516258161,1.0,0.0,0.0,-1.0
-1.0,1.8927247165860877,-1.5072055382944427,-1.0,0.0,0.0,0.0
1.0,2.7419706114758924,-3.034199116575337,0.0,0.25,0.0,1.0
1.0,1.2733987155534123,-2.0057406125821444,1.0,0.0,0.5,-1.0
1.0,1.3154619881938743,-2.4213976170191813,-1.0,0.0,0.0,-1.0
-1.0,1.3780200579184907,-1.266175486062707,-1.0,0.0,0.0,0.0
1.0,2.7774662078427923,-3.717709015593016,0.0,0.5,0.25,1.0
1.0,1.1094719745541965,-5.148890513540152,1.0,1.0,0.25,1.0
1.0,1.3983759169998393,-2.906230416383039,1.0,0.25,1.0,-1.0
1.0,1.089501961091969,-2.0139723619087704,-1.0,0.0,0.0,1.0
-1.0,1.675682700115317,-6.207520828551765,1.0,0.0,0.0,-1.0
